hypernym(00260881,00260622).
member_meronym(12299988,12309403).
hypernym(02011040,02009433).
derivationally_related_form(00298161,10718131).
hypernym(07348545,07352190).
derivationally_related_form(02020027,10443170).
derivationally_related_form(00710005,01008378).
member_meronym(12784543,12784738).
instance_hypernym(08761039,09388848).
hypernym(02041678,02041246).
derivationally_related_form(02595662,01964367).
member_meronym(13023292,13024763).
hypernym(00716777,00671351).
instance_hypernym(08563180,08574314).
member_meronym(02363818,02363996).
derivationally_related_form(01158690,00467717).
derivationally_related_form(07354731,01111028).
derivationally_related_form(05804491,00671335).
has_part(03073977,04182708).
derivationally_related_form(08183398,01524298).
derivationally_related_form(00112312,01447632).
hypernym(07723039,07707451).
hypernym(00964478,00962447).
derivationally_related_form(00695523,02706816).
hypernym(03560430,03547054).
synset_domain_topic_of(13784906,06090869).
hypernym(00684988,00671351).
derivationally_related_form(02651424,01210816).
verb_group(02618149,02616713).
derivationally_related_form(01716882,07018931).
derivationally_related_form(00846509,06718543).
hypernym(00388392,00385791).
verb_group(00364868,00366547).
synset_domain_topic_of(08191230,08199025).
hypernym(01693453,01690294).
hypernym(03824284,02954340).
derivationally_related_form(11428023,02768431).
derivationally_related_form(00138508,13858604).
member_meronym(01485801,01486010).
hypernym(00058519,00042757).
member_meronym(02353709,02354320).
derivationally_related_form(00038849,05256862).
hypernym(09933098,10284064).
hypernym(10166394,09625789).
hypernym(08616050,08598301).
has_part(08817630,08818135).
derivationally_related_form(14875077,02237024).
derivationally_related_form(02679012,04728068).
derivationally_related_form(09608709,02547586).
derivationally_related_form(02322596,10663315).
derivationally_related_form(00489837,05855125).
instance_hypernym(10837918,09921792).
hypernym(13518656,13448334).
hypernym(03779621,04157320).
hypernym(13145040,13144794).
derivationally_related_form(00794367,02531625).
member_of_domain_region(08860123,10508141).
derivationally_related_form(00327683,01973125).
has_part(15231964,15233411).
derivationally_related_form(00250710,00400883).
hypernym(03826945,03570838).
hypernym(03590306,04605726).
hypernym(01391933,08107499).
derivationally_related_form(02079933,06251781).
derivationally_related_form(00472992,02760622).
member_meronym(01767199,02159955).
derivationally_related_form(01626844,09900499).
member_meronym(02356108,02355477).
derivationally_related_form(02639606,10197967).
hypernym(07361416,07361128).
hypernym(01807701,01507175).
synset_domain_topic_of(01707925,05718556).
also_see(01966861,00616498).
derivationally_related_form(00791227,02539334).
derivationally_related_form(00406243,14031523).
derivationally_related_form(02689730,09409512).
member_meronym(13000372,13006377).
member_meronym(13172107,13175484).
hypernym(01384491,01326291).
hypernym(07106502,07105475).
derivationally_related_form(01114303,00089027).
hypernym(09868270,09855630).
has_part(08794798,04408330).
hypernym(09712696,09641757).
derivationally_related_form(08095647,09682803).
has_part(05529729,05349906).
hypernym(00567291,01356750).
derivationally_related_form(02263982,09305031).
hypernym(00380698,00380424).
derivationally_related_form(01767949,01282014).
hypernym(14058252,14052403).
derivationally_related_form(00874067,00670261).
derivationally_related_form(00727991,07237758).
derivationally_related_form(07377473,02182479).
derivationally_related_form(02059462,00555648).
derivationally_related_form(02422663,10525134).
member_meronym(01845272,01860337).
derivationally_related_form(02724126,03047941).
hypernym(03458961,04339291).
derivationally_related_form(10186350,00918383).
has_part(08196230,02688895).
hypernym(06825863,06825399).
derivationally_related_form(10201535,00838043).
hypernym(01926840,01921559).
derivationally_related_form(08414381,10396106).
derivationally_related_form(02298471,01113068).
derivationally_related_form(03008275,00306017).
member_of_domain_region(08831004,10682169).
derivationally_related_form(06691989,00034115).
derivationally_related_form(01826723,04848262).
hypernym(06609909,06607339).
derivationally_related_form(01992503,00282050).
derivationally_related_form(08512736,01467370).
derivationally_related_form(14446878,02507736).
instance_hypernym(08926681,09472597).
hypernym(11871294,11575425).
has_part(02887489,04333500).
derivationally_related_form(00575970,15055633).
verb_group(00332672,00334803).
hypernym(01993352,01992503).
synset_domain_topic_of(00906735,08441203).
derivationally_related_form(04072811,00025654).
hypernym(11684264,09257949).
hypernym(00636279,00634906).
member_meronym(12476036,12476510).
verb_group(02670890,02541251).
hypernym(00798108,00432689).
hypernym(01448165,01432517).
derivationally_related_form(00486018,00455348).
also_see(02384940,02486693).
hypernym(14526764,13920835).
hypernym(11600372,11596108).
has_part(15177866,15214419).
hypernym(03302121,00021939).
has_part(08174398,08175498).
hypernym(11890329,11575425).
derivationally_related_form(01006239,10564660).
synset_domain_topic_of(01199697,08441203).
hypernym(02041492,01507175).
member_meronym(01854223,01855032).
member_meronym(12100538,12108742).
has_part(03248560,04013993).
hypernym(13471815,13466586).
hypernym(07161429,07160883).
derivationally_related_form(02544348,00796315).
derivationally_related_form(04321238,01329239).
hypernym(14631295,14625458).
member_of_domain_region(09044862,07623933).
hypernym(00187147,00515154).
member_meronym(11778534,11790239).
hypernym(03076708,00021939).
member_meronym(12505032,12505253).
has_part(05332802,05247178).
instance_hypernym(08766667,08633957).
hypernym(10784544,10625860).
hypernym(13459322,05701738).
derivationally_related_form(00358431,09994943).
member_meronym(12671157,12673755).
derivationally_related_form(07400906,01879251).
hypernym(00345641,00342028).
hypernym(00506207,00502415).
derivationally_related_form(02457585,01142324).
derivationally_related_form(00556193,00509377).
derivationally_related_form(06254007,00968211).
hypernym(10336537,10009671).
hypernym(10458111,10708454).
hypernym(12512947,11585340).
derivationally_related_form(14992287,01360899).
hypernym(05998052,05996646).
derivationally_related_form(01471954,15152261).
derivationally_related_form(01074694,02557199).
derivationally_related_form(00595032,10296176).
derivationally_related_form(14575180,00436668).
derivationally_related_form(03933529,01305361).
hypernym(01797730,01790020).
hypernym(00595333,00586262).
derivationally_related_form(13453160,00370412).
hypernym(11788382,11779300).
hypernym(02061073,01507175).
derivationally_related_form(02364448,01767949).
hypernym(11928858,11928549).
hypernym(14344189,14343597).
derivationally_related_form(07161741,00879764).
derivationally_related_form(15274074,00779360).
hypernym(13902048,13864153).
also_see(01227137,02588099).
derivationally_related_form(10276477,00657016).
hypernym(07606764,07597365).
hypernym(07205946,07204401).
derivationally_related_form(00283568,01912893).
derivationally_related_form(05892651,00755745).
derivationally_related_form(01199035,02578008).
hypernym(04706087,05017458).
derivationally_related_form(05682950,02678438).
hypernym(10764128,10006842).
derivationally_related_form(04153751,01353169).
derivationally_related_form(01613463,01179707).
derivationally_related_form(01904293,09281777).
hypernym(00589948,00586262).
member_meronym(11849017,11849271).
member_meronym(02134589,02138323).
hypernym(05140793,05139561).
derivationally_related_form(10582154,02540670).
hypernym(00854876,00854717).
derivationally_related_form(09960545,13885370).
hypernym(06486405,00722479).
derivationally_related_form(00320852,00187526).
hypernym(12624249,11585340).
derivationally_related_form(01411085,01160729).
hypernym(02261888,02234087).
derivationally_related_form(02034986,14213328).
member_meronym(02411427,02411705).
derivationally_related_form(02048051,09843824).
instance_hypernym(09277279,09452395).
has_part(12532168,12532564).
derivationally_related_form(02735897,01207609).
hypernym(01967634,01967373).
derivationally_related_form(01987160,05074774).
derivationally_related_form(01391280,13875970).
derivationally_related_form(01635432,05936704).
hypernym(01823528,00126264).
hypernym(00292368,00291873).
member_meronym(02205896,02214972).
hypernym(00472230,00471711).
hypernym(09899782,10752093).
also_see(01899360,00311663).
hypernym(04894552,04894037).
hypernym(02628832,02627934).
derivationally_related_form(01203676,02542280).
derivationally_related_form(01918669,09988703).
derivationally_related_form(00929839,05920791).
member_meronym(02551824,02547213).
hypernym(13985818,07480068).
derivationally_related_form(10625860,05978812).
synset_domain_topic_of(05126849,07020895).
hypernym(05988282,05809192).
derivationally_related_form(02279772,00951626).
derivationally_related_form(02479154,01139000).
derivationally_related_form(04833458,01112573).
hypernym(14094881,14084880).
derivationally_related_form(01742244,13902048).
member_meronym(01934207,01935012).
derivationally_related_form(04182708,02362601).
derivationally_related_form(00610010,05651399).
derivationally_related_form(01765392,13970764).
synset_domain_topic_of(08511777,06057539).
member_meronym(02265860,02266050).
hypernym(15239292,15113229).
derivationally_related_form(02589013,01140839).
has_part(04011827,02848523).
derivationally_related_form(00367976,02689299).
hypernym(02558172,02452885).
hypernym(14668539,14662574).
derivationally_related_form(00191980,01457954).
synset_domain_topic_of(10034020,08199025).
synset_domain_topic_of(01707306,05718556).
member_meronym(02425393,02425532).
member_meronym(11911274,12168126).
derivationally_related_form(10624310,00546389).
derivationally_related_form(00718815,00082929).
derivationally_related_form(01658762,09975425).
derivationally_related_form(14842992,01292727).
instance_hypernym(08981244,08544813).
member_meronym(01399772,01400575).
hypernym(00063557,00203866).
hypernym(13624026,13616054).
member_of_domain_region(08723006,07571547).
derivationally_related_form(01456463,03045074).
derivationally_related_form(00103317,13003522).
member_meronym(12745160,12745564).
has_part(13727478,13727333).
derivationally_related_form(01849221,00280853).
hypernym(09624168,00007846).
derivationally_related_form(00595630,01374582).
derivationally_related_form(15293590,01097500).
hypernym(01194331,01181475).
hypernym(14547976,14547643).
member_meronym(01974399,01996392).
derivationally_related_form(01640855,00035189).
hypernym(00303297,00302394).
hypernym(01239494,01231252).
hypernym(10053808,09632518).
derivationally_related_form(13793776,02677332).
derivationally_related_form(02707344,02619839).
hypernym(06420219,06418901).
member_meronym(02494538,02494866).
member_meronym(08388207,09807754).
member_of_domain_usage(06851742,07910656).
derivationally_related_form(10257221,02421374).
derivationally_related_form(01147060,00562398).
derivationally_related_form(02517202,00732746).
hypernym(01199697,01184814).
synset_domain_topic_of(00736219,08441203).
derivationally_related_form(10395605,06413889).
derivationally_related_form(10764296,02017149).
hypernym(03429288,03733925).
hypernym(05950234,06201908).
member_meronym(11911591,11956208).
derivationally_related_form(01126846,00954086).
verb_group(00640828,00949288).
member_meronym(11595312,11605708).
derivationally_related_form(06844199,01004403).
hypernym(04566561,03764276).
derivationally_related_form(00135952,01230555).
derivationally_related_form(01900408,07317519).
hypernym(01634891,01626600).
member_of_domain_usage(07157273,06611998).
member_of_domain_region(08860123,07795317).
derivationally_related_form(07445480,01968569).
derivationally_related_form(02709906,00612652).
derivationally_related_form(00986938,01134238).
member_meronym(01622596,01623880).
derivationally_related_form(01793933,14403772).
hypernym(07749582,07747055).
derivationally_related_form(01902783,11465017).
derivationally_related_form(01208460,02000133).
hypernym(12584057,11556857).
hypernym(02286687,02285629).
hypernym(08128159,08123696).
has_part(02677718,03613592).
hypernym(09933020,09877951).
derivationally_related_form(00342755,02046755).
member_meronym(12392943,12393269).
derivationally_related_form(10185148,01811441).
derivationally_related_form(09896826,00808671).
hypernym(01804340,01507175).
has_part(09372504,08735705).
derivationally_related_form(02107588,10020031).
derivationally_related_form(07331400,01557774).
hypernym(01330269,01329239).
also_see(01430111,00111129).
hypernym(11905749,11669921).
hypernym(02129165,02127808).
hypernym(06420781,06418693).
member_meronym(12838027,12854925).
instance_hypernym(08709038,08574314).
has_part(02807731,04209613).
member_meronym(01450281,01450453).
derivationally_related_form(00926472,06748969).
hypernym(12433429,13134059).
member_meronym(12610933,12612913).
hypernym(10168183,09629246).
hypernym(11637015,11636566).
also_see(01345109,01587062).
has_part(09031653,09032483).
derivationally_related_form(10090498,02248465).
derivationally_related_form(01458464,13534274).
derivationally_related_form(03058107,01264283).
hypernym(13401013,13287984).
instance_hypernym(11126783,10536416).
derivationally_related_form(01699539,06399995).
member_meronym(01437805,01446283).
derivationally_related_form(01106587,01949674).
member_of_domain_region(08860123,07722485).
member_meronym(02433796,02433925).
derivationally_related_form(05195362,00765649).
instance_hypernym(11190183,10794014).
has_part(02691156,03530910).
hypernym(09898346,10029068).
derivationally_related_form(00235918,06807198).
derivationally_related_form(00225593,01569181).
derivationally_related_form(01870867,10605088).
hypernym(03135152,03282591).
synset_domain_topic_of(00128477,00471613).
derivationally_related_form(00908351,07252206).
synset_domain_topic_of(01688771,00933420).
hypernym(06356299,05856388).
hypernym(09636890,07967982).
instance_hypernym(09057311,08655464).
derivationally_related_form(13248087,02201521).
hypernym(01541386,01529672).
has_part(09275473,08967868).
hypernym(01116026,01113068).
member_meronym(11754633,11754893).
derivationally_related_form(04893787,02269143).
derivationally_related_form(00948071,05121418).
instance_hypernym(08714795,08524735).
derivationally_related_form(02570267,01073241).
hypernym(09731571,09738400).
derivationally_related_form(01157384,01087559).
hypernym(01211098,01226215).
derivationally_related_form(00903385,10399299).
derivationally_related_form(10658304,13367070).
verb_group(00099721,00100551).
derivationally_related_form(02507464,00623862).
also_see(00571643,00191603).
hypernym(13641534,13640050).
derivationally_related_form(00364297,01062997).
hypernym(05529159,05303402).
derivationally_related_form(10670668,02556817).
derivationally_related_form(00345149,01593763).
hypernym(03080309,13910384).
hypernym(02865665,04153751).
hypernym(07321517,07321247).
synset_domain_topic_of(13903855,06000644).
synset_domain_topic_of(00286360,00445802).
member_meronym(12202352,12204925).
member_meronym(12099556,12099803).
hypernym(15183802,15183428).
member_meronym(01578341,01578575).
member_meronym(01567530,01567678).
hypernym(11737534,11672400).
derivationally_related_form(01906823,00283568).
member_meronym(12449024,12449296).
hypernym(00898518,00407535).
derivationally_related_form(00266634,05032351).
hypernym(02244396,01762525).
derivationally_related_form(13307901,02241107).
instance_hypernym(11398344,10084635).
hypernym(01385920,02304982).
member_meronym(12720893,12721122).
also_see(01369663,02034828).
hypernym(12172481,12170585).
verb_group(00046534,00043683).
hypernym(03205760,04037625).
derivationally_related_form(05039709,00025728).
hypernym(00647270,00646833).
derivationally_related_form(07208000,01506157).
instance_hypernym(08812399,08803382).
hypernym(11633633,11630890).
hypernym(14857497,14856263).
hypernym(00860136,00859153).
derivationally_related_form(03497657,10162354).
derivationally_related_form(04240097,02683419).
hypernym(10710632,00007846).
derivationally_related_form(07144190,00944548).
synset_domain_topic_of(02451679,06084469).
derivationally_related_form(10150071,02456031).
hypernym(00599472,00586262).
hypernym(01773549,01772222).
hypernym(13290991,13290676).
derivationally_related_form(00878348,04913839).
member_meronym(01998019,01998920).
derivationally_related_form(10221777,01678685).
has_part(09196611,09463721).
derivationally_related_form(05259240,01223616).
hypernym(00208277,00206302).
member_of_domain_region(09044862,01178415).
hypernym(03351768,03106110).
hypernym(02125641,02123903).
member_meronym(01992935,01993065).
has_part(01985797,07788885).
hypernym(01183166,01182654).
hypernym(09505153,09623038).
derivationally_related_form(01730384,01255935).
derivationally_related_form(10728998,01195299).
synset_domain_topic_of(10644839,08199025).
derivationally_related_form(03746574,02749778).
hypernym(12760875,13112664).
has_part(13631512,13630864).
member_meronym(02256365,02256882).
hypernym(02539752,01432517).
hypernym(05392744,05303402).
member_meronym(12104943,12105125).
member_of_domain_usage(06295235,06630627).
hypernym(00768062,00989201).
derivationally_related_form(02645007,06807198).
member_of_domain_region(08848731,08283180).
derivationally_related_form(04160586,01943153).
derivationally_related_form(00732552,05703429).
derivationally_related_form(10027590,02537812).
derivationally_related_form(05805475,00588221).
derivationally_related_form(00038365,03075097).
derivationally_related_form(00379422,01328705).
hypernym(01886728,01887576).
hypernym(01030397,02449340).
hypernym(13573181,13526110).
hypernym(01948446,01945845).
derivationally_related_form(05698247,00687295).
hypernym(06998748,06873252).
hypernym(12835196,11579418).
hypernym(00321956,00320852).
synset_domain_topic_of(01178415,06155567).
member_of_domain_region(08860123,09830400).
hypernym(02142775,02140033).
has_part(02913152,03509025).
derivationally_related_form(01702514,10444194).
derivationally_related_form(02923745,09713501).
derivationally_related_form(07196075,00808855).
hypernym(02494850,01119169).
derivationally_related_form(03612814,00328128).
hypernym(04473432,03315023).
hypernym(14554011,14096724).
derivationally_related_form(09756400,11420376).
hypernym(05799952,05799212).
hypernym(00757080,00745005).
hypernym(12727960,12725521).
hypernym(00830761,00829107).
derivationally_related_form(00923793,03150795).
derivationally_related_form(15280497,01929254).
hypernym(01449053,01448100).
has_part(04592099,04184095).
hypernym(02298833,01762525).
derivationally_related_form(01803936,00158185).
hypernym(02186153,02159955).
hypernym(03600806,03030663).
hypernym(12090318,11562747).
member_meronym(09039411,09734885).
hypernym(01179167,01177703).
derivationally_related_form(14291561,00414823).
derivationally_related_form(01494310,08623927).
derivationally_related_form(07477945,01989053).
verb_group(02416278,02416751).
derivationally_related_form(00755863,02519494).
derivationally_related_form(00746479,05981768).
hypernym(01415393,01388130).
derivationally_related_form(07214432,00933821).
derivationally_related_form(10737431,01284271).
hypernym(06074860,06078724).
derivationally_related_form(01150467,00172732).
hypernym(01970125,01968569).
derivationally_related_form(01746605,00591519).
hypernym(00104147,01547001).
has_part(05329215,05532944).
derivationally_related_form(06762711,00961586).
hypernym(07577538,07577374).
synset_domain_topic_of(05230357,06063588).
hypernym(01496630,01494310).
member_meronym(11911591,11944569).
hypernym(10428004,10560637).
member_meronym(12011067,12012111).
hypernym(10597091,10596899).
hypernym(03747508,02718469).
derivationally_related_form(10240082,00594621).
derivationally_related_form(07123870,00862225).
derivationally_related_form(10117739,00046151).
synset_domain_topic_of(02647497,06057539).
derivationally_related_form(00079212,02256998).
also_see(00921014,02131072).
hypernym(00458276,00126264).
derivationally_related_form(05001482,00988232).
has_part(02870092,02840619).
has_part(09211266,09292545).
derivationally_related_form(10298912,02447001).
hypernym(06222959,06186301).
derivationally_related_form(00849080,06716234).
hypernym(13575226,13498404).
derivationally_related_form(00992518,06632097).
hypernym(07384898,07387509).
synset_domain_topic_of(05473104,06057539).
derivationally_related_form(00956250,05817845).
derivationally_related_form(09866922,02242049).
synset_domain_topic_of(04243727,03082979).
hypernym(07042735,07050619).
member_meronym(01542567,01543508).
hypernym(07334206,07330007).
derivationally_related_form(02115430,10613996).
hypernym(06576265,06568978).
hypernym(00589691,00586262).
hypernym(02509287,02510337).
derivationally_related_form(05967402,10191388).
derivationally_related_form(00307568,14008567).
derivationally_related_form(01131902,02867715).
member_of_domain_region(08860123,10356877).
hypernym(09633969,09831962).
member_meronym(02048514,02048698).
derivationally_related_form(05777439,02910789).
instance_hypernym(09139380,08665504).
derivationally_related_form(01704236,00545501).
derivationally_related_form(00125841,07423365).
member_meronym(02525866,02526486).
hypernym(00380568,00378985).
hypernym(02613181,02612657).
derivationally_related_form(01803003,10716005).
derivationally_related_form(00672433,10066732).
hypernym(02654425,02652668).
derivationally_related_form(07313636,00069879).
also_see(02530167,02531625).
has_part(05596004,05275466).
hypernym(12631331,13118707).
hypernym(01888295,01831531).
derivationally_related_form(10677713,02554922).
derivationally_related_form(07453195,02390470).
derivationally_related_form(02505606,02855793).
hypernym(02141306,02139199).
derivationally_related_form(00847340,01428853).
member_meronym(12959967,12960211).
hypernym(07571547,07571324).
derivationally_related_form(01305361,03933529).
derivationally_related_form(01576165,07801091).
hypernym(08338847,08337324).
hypernym(13305510,13303315).
hypernym(09691279,09620078).
instance_hypernym(09111955,08524735).
derivationally_related_form(11449907,00506040).
has_part(05496990,05229990).
hypernym(10131515,10154186).
similar_to(02344381,02341266).
hypernym(12562141,13112664).
member_meronym(11911591,11925720).
derivationally_related_form(02047650,13878112).
hypernym(06102865,05989479).
derivationally_related_form(00373766,00668112).
hypernym(00578993,00208836).
derivationally_related_form(07882497,01666131).
hypernym(02587239,02587084).
derivationally_related_form(00217773,01566185).
verb_group(02155799,02155493).
derivationally_related_form(02665803,07993109).
has_part(05331171,05490983).
derivationally_related_form(08401554,00908621).
hypernym(00408085,02339413).
hypernym(02253766,02529284).
derivationally_related_form(01989720,10612803).
also_see(02523275,02094755).
derivationally_related_form(05648459,01140514).
hypernym(00770270,00766234).
member_meronym(11983160,11983375).
hypernym(10421183,09681351).
derivationally_related_form(00750405,10437262).
member_meronym(11746776,12501035).
hypernym(02257149,01762525).
member_of_domain_region(08860123,10745894).
hypernym(02624263,02623529).
member_meronym(02430929,02431122).
synset_domain_topic_of(05992274,06080522).
derivationally_related_form(06260121,01435380).
derivationally_related_form(02704461,13841651).
derivationally_related_form(06713187,00824292).
hypernym(00424869,00422090).
hypernym(01203234,01183573).
hypernym(06878934,06877078).
also_see(02034828,01878466).
member_meronym(12501745,12550968).
hypernym(02869249,03915437).
derivationally_related_form(00462092,01070892).
hypernym(07156819,07109196).
derivationally_related_form(09996920,00591725).
has_part(05393230,05392348).
synset_domain_topic_of(04552696,08199025).
hypernym(12060546,12041446).
member_of_domain_usage(06845599,03662016).
hypernym(03448590,02740764).
member_of_domain_region(09044862,02102605).
verb_group(02727883,02242464).
derivationally_related_form(04544979,01904930).
derivationally_related_form(04817923,01848355).
has_part(01195867,01198750).
synset_domain_topic_of(01684180,00933420).
instance_hypernym(09119277,08638442).
member_meronym(11854760,11856389).
verb_group(01255222,01255355).
derivationally_related_form(02649830,03259505).
derivationally_related_form(02157399,14555214).
instance_hypernym(11045106,10214637).
derivationally_related_form(02083615,10557854).
derivationally_related_form(02888569,01218791).
has_part(05540513,05274590).
hypernym(14879750,14879605).
hypernym(00329495,00328802).
instance_hypernym(09191875,09411430).
derivationally_related_form(06677302,01745722).
derivationally_related_form(00907800,01068633).
derivationally_related_form(00116376,01455866).
derivationally_related_form(00783199,01471825).
hypernym(07884567,03248958).
hypernym(00939818,00939628).
hypernym(12505253,13100677).
derivationally_related_form(02912440,02188848).
hypernym(12411710,12411084).
hypernym(02520147,02517442).
hypernym(00367685,00467451).
hypernym(02429810,00752764).
derivationally_related_form(02000133,01208460).
hypernym(07066459,07059255).
derivationally_related_form(03058754,08756884).
member_meronym(01770553,01770795).
hypernym(01942724,01939598).
hypernym(06715927,06714976).
member_of_domain_region(08860123,07677860).
derivationally_related_form(01799794,00273449).
derivationally_related_form(15049594,01541803).
hypernym(12283981,11573173).
derivationally_related_form(06672297,00871195).
also_see(02066939,02072159).
hypernym(04540761,02991048).
hypernym(03954731,03489162).
hypernym(02404186,02402425).
instance_hypernym(08713772,09388848).
hypernym(02888569,04359589).
derivationally_related_form(01353670,04238321).
derivationally_related_form(02624263,00240184).
derivationally_related_form(01703613,06381372).
derivationally_related_form(02471327,10512201).
member_meronym(06825273,06825399).
has_part(09044862,09133010).
derivationally_related_form(07229747,00857517).
hypernym(01624568,01659248).
derivationally_related_form(01628302,01793177).
hypernym(02218371,02206270).
member_meronym(12443144,12443323).
hypernym(03330947,04181228).
derivationally_related_form(05088324,02060141).
derivationally_related_form(14498404,00492410).
hypernym(09926656,10191192).
hypernym(13268842,13265011).
derivationally_related_form(01110274,02260085).
derivationally_related_form(13905572,00469637).
member_of_domain_region(08860123,00896688).
hypernym(00820801,01011031).
instance_hypernym(09052314,09044862).
derivationally_related_form(00923995,01632411).
hypernym(01587062,01467370).
member_of_domain_region(08860123,08874469).
hypernym(02507464,01146051).
synset_domain_topic_of(05664640,00883297).
derivationally_related_form(06207561,01778568).
has_part(08716738,09350524).
hypernym(13237343,11567411).
has_part(08723006,09173288).
member_meronym(12796192,12796385).
member_meronym(11746776,12487394).
has_part(02640857,07799738).
derivationally_related_form(10095869,00880227).
synset_domain_topic_of(01706756,07020895).
hypernym(04945530,04945057).
hypernym(13901585,13899200).
synset_domain_topic_of(00955806,08199025).
also_see(00604617,00019131).
hypernym(07555647,07527352).
member_meronym(12542649,12542910).
derivationally_related_form(00428270,01708676).
hypernym(11910271,12205694).
has_part(14399116,14545045).
derivationally_related_form(01686956,06999436).
hypernym(07837362,07829412).
hypernym(10521662,09610660).
member_meronym(01856225,01856553).
derivationally_related_form(10461747,00776523).
member_meronym(11890329,11890507).
has_part(08778061,09333334).
hypernym(12699157,11585340).
hypernym(02632989,02554730).
derivationally_related_form(03060294,00021679).
derivationally_related_form(01222645,00343249).
hypernym(02147603,02158587).
derivationally_related_form(04411264,02653996).
derivationally_related_form(05849789,02630189).
hypernym(02658447,02657219).
derivationally_related_form(04733640,00344125).
hypernym(14440875,14440623).
instance_hypernym(09427876,09215664).
hypernym(02103162,01850315).
also_see(01364008,01149494).
member_meronym(02143594,02144110).
derivationally_related_form(06880533,01021128).
has_part(09298698,09297729).
derivationally_related_form(02122983,05722868).
synset_domain_topic_of(01715525,00543233).
hypernym(00433458,00523513).
hypernym(02648769,01432517).
hypernym(10440580,00007846).
derivationally_related_form(05985999,10055566).
derivationally_related_form(02928066,06906439).
derivationally_related_form(00125629,01236164).
hypernym(01642671,01626134).
hypernym(01902405,01926311).
has_part(05560787,05376844).
derivationally_related_form(01774799,07502980).
derivationally_related_form(01259211,00800242).
derivationally_related_form(05685538,00518653).
has_part(08849753,09425835).
derivationally_related_form(02319428,00362103).
derivationally_related_form(10684827,04906923).
also_see(00430191,00701479).
hypernym(08396990,08391387).
hypernym(04677952,04673965).
hypernym(01194938,00126264).
derivationally_related_form(01207609,00082081).
hypernym(11970429,11579418).
derivationally_related_form(10677713,02453889).
derivationally_related_form(00915605,07377682).
derivationally_related_form(03976657,01372189).
derivationally_related_form(00031820,07127006).
hypernym(02754421,03676175).
has_part(13659760,13659604).
derivationally_related_form(00126721,01082290).
synset_domain_topic_of(00025728,06084469).
derivationally_related_form(01072565,01183573).
hypernym(12441958,12425281).
has_part(04392526,04392764).
hypernym(14190736,14189837).
instance_hypernym(09157766,08524735).
hypernym(01309701,00173338).
derivationally_related_form(01164568,00951433).
derivationally_related_form(07125958,00914769).
member_of_domain_usage(06845599,03755991).
derivationally_related_form(07069948,00980453).
hypernym(01259458,01552519).
hypernym(00117578,00863513).
derivationally_related_form(00204199,00810557).
derivationally_related_form(00753093,10650162).
derivationally_related_form(01662771,02979662).
hypernym(14363483,14299637).
derivationally_related_form(08677628,02695895).
derivationally_related_form(06720216,00847870).
derivationally_related_form(04790449,02559180).
member_of_domain_usage(07073447,09637512).
hypernym(06651577,06650701).
hypernym(13908580,13867641).
member_of_domain_usage(06845599,14928885).
instance_hypernym(09379938,09411430).
member_meronym(11704401,11704791).
hypernym(12449934,12449296).
hypernym(12078596,11556857).
hypernym(01602353,01504437).
derivationally_related_form(04478889,01311896).
member_of_domain_region(08859173,10279540).
synset_domain_topic_of(13523661,06080522).
hypernym(02043497,01504437).
hypernym(02735688,04341686).
derivationally_related_form(02033295,02829696).
derivationally_related_form(00590626,09941964).
has_part(02862048,04259468).
also_see(01801600,01624633).
hypernym(01198750,01181475).
instance_hypernym(08813978,08696931).
derivationally_related_form(00740712,02599004).
hypernym(00114095,00113726).
hypernym(06157326,06153846).
hypernym(00544549,00126264).
derivationally_related_form(13653902,02008066).
derivationally_related_form(00748282,00744758).
derivationally_related_form(03924811,01736299).
derivationally_related_form(01166093,00947128).
hypernym(00110964,00110057).
hypernym(07609840,07556970).
instance_hypernym(09030382,08524735).
hypernym(01483247,02144835).
synset_domain_topic_of(09873242,08199025).
hypernym(12613706,13121544).
member_meronym(01982895,01983048).
synset_domain_topic_of(10403876,02924116).
derivationally_related_form(01815471,00253395).
derivationally_related_form(08436759,00232542).
hypernym(15150870,15144371).
hypernym(02717831,02673134).
hypernym(11774513,13112664).
hypernym(05943300,05941423).
derivationally_related_form(03150232,01223616).
synset_domain_topic_of(01945381,00815801).
derivationally_related_form(10553805,02551832).
synset_domain_topic_of(06141324,06136258).
hypernym(05761380,05760202).
has_part(04096066,03138981).
derivationally_related_form(06731510,00878136).
hypernym(11846970,11573660).
member_meronym(08999482,09693618).
derivationally_related_form(01254685,01049737).
hypernym(02085320,02060141).
member_meronym(01524885,01528087).
member_meronym(12838027,12861139).
derivationally_related_form(00931453,00116619).
hypernym(00379440,00196364).
hypernym(02051270,02050132).
hypernym(02919414,03871083).
hypernym(01518718,01507175).
member_meronym(02518813,02520015).
hypernym(09770472,10162991).
also_see(01866192,01966706).
derivationally_related_form(01014821,10703905).
derivationally_related_form(02636921,13793776).
hypernym(15009843,03828465).
hypernym(09663472,09646608).
derivationally_related_form(00708128,05907682).
member_meronym(12559302,12559518).
derivationally_related_form(06014730,02909168).
derivationally_related_form(00575720,13572436).
hypernym(02592111,02428924).
member_meronym(01845627,01853072).
derivationally_related_form(01960656,00737188).
hypernym(13631687,13601596).
also_see(01486151,02291258).
has_part(09033333,09033936).
derivationally_related_form(08612340,02043982).
also_see(01613463,02451951).
member_meronym(01790943,01791107).
hypernym(05895723,05893653).
